JobTitle,Salary,CompanyName,CompanyRating,JobLocation,Summary,Date
Data Analytics Internship,5000 a month,E-Trio Automobiles Private Limited,nan,"Hyderabad, Telangana",Working on the testing data of electric vehicles on a regular basis 2.,1 day ago
Data Scientist,500000 - 800000 a year,Speegile Consulting,nan,"Kolkata, West Bengal","Strong data representation and lucid presentation (of analysis/modelling output) using Power Point, Excel etc.",30+ days ago
"Data Science Analyst - R, Python",nan,Larsen & Toubro Infotech Limited,3.7,India,"Key Responsibilities • Development of statistical models, (predictive and descriptive) using internal and external data to support customer contact activity and…",30+ days ago
Data Engineer,1500000 a year,Lera Technologies Pvt.Ltd,nan,"Hyderabad, Telangana","Experience building and optimizing ‘big data’ data pipelines, architectures and data sets.",15 days ago
Data Operations Associate - GUR,nan,BlackRock,3.8,"Gurgaon, Haryana","Give to all aspects of rolling out multiple concurrent new indices, across various asset classes and strategies in Aladdin, including vendor data acquisition,…",8 days ago
Data Engineer,nan,Micron,3.8,"Hyderabad, Telangana",Ensure that the data science models deployed are easy to support and maintain.,1 day ago
Data Scientist,nan,ADCI - Karnataka,3.6,"Bengaluru, Karnataka","We are looking for an Data scientist to be based in Bangalore, India with 4+ years of solid experience in solving complex problems using machine learning and…",8 days ago
Data Engineer,nan,Baker Hughes,4.0,"Bengaluru, Karnataka",You will also work with data science leadership to develop internal tools for rapid data ingestion and integration of customer data into selected cloud…,1 day ago
Data Scientist,nan,ADCI - Karnataka,3.6,"Bengaluru, Karnataka","We are looking for an Data scientist to be based in Bangalore, India with 4+ years of solid experience in solving complex problems using machine learning and…",8 days ago
Data Engineer,nan,Baker Hughes,4.0,"Bengaluru, Karnataka",You will also work with data science leadership to develop internal tools for rapid data ingestion and integration of customer data into selected cloud…,1 day ago
Data Integration Engineer,nan,ClimaCell,nan,"Gurgaon, Haryana",Performs data analysis required to troubleshoot data related issues and assist in the resolution of data issues.,1 day ago
Data Scientist - Machine Learning,nan,Blue Yonder,nan,"Bengaluru, Karnataka",Working knowledge of data science and machine learning foundations.,30+ days ago
Data Analyst,1000000 - 1200000 a year,Multirecruit,3.5,"Bengaluru, Karnataka",Our Company is a product developed by data scientists for data scientists.,30+ days ago
Data Scientist,nan,Canum Infotech,nan,"Bengaluru, Karnataka","Experience in the field of data science, building predictive analytics solutions for different business problems.",30+ days ago
SMART Cities Project,nan,SMEC,4.1,"Bengaluru, Karnataka",Global engineering consultancy with great career opportunities.,3 days ago
"Director, Data Science, Secondary Research Service",nan,Gartner,3.7,"Gurgaon, Haryana",3+ years of experience in managing teams working on analytics / data science projects.,8 days ago
Data Science Manager,nan,Honeywell,3.7,"Bengaluru, Karnataka","Collaborating and influencing team resourcing including engineering, data engineering, customer engagement, and product managers to ensure successful execution.",23 days ago
Full Stack Developer (Big Data & Healthcare Background),50000 - 90000 a month,Intelliworx Consulting,nan,"Delhi, Delhi",5 years of experience in designing and delivering scalable full-stack web solutions.,1 day ago
Data Visualization Analyst,nan,Meredith Corporation,3.6,"Bengaluru, Karnataka",Perform data extraction and data manipulation on large datasets to achieve superior and fast visualization on Sisense.,11 days ago
DATA SCIENTIST,nan,Maxbyte Technologies Private Limited,nan,"Coimbatore, Tamil Nadu","These applications include but are not limited to contextual data mining, understanding the contents of the enterprise data using natural language processing,…",30+ days ago
Data Curator,nan,CCS Computers,nan,"New Delhi, Delhi",Curation and mining of different types of biological data under supervision of domain experts.,2 days ago
Architect I - Data Science,nan,Philips,4.0,"Bengaluru, Karnataka","Excellent knowledge of various data science, AI algorithms.",30+ days ago
Data Scientist DA4AD,nan,Daimler,4.1,"Bengaluru, Karnataka","Very good experience with common data science toolkits of Python like numpy, pandas, pyTorch.",30+ days ago
Senior Associate/Consultant - Geospatial Lab (Geoinformatics and Computer Science),nan,Indian Institute for Human Settlements,4.3,"Bengaluru, Karnataka",Experience in handling and analysis of large scale Optical and Radar satellite data;,1 day ago
Medical Writer - Trainee,240000 - 350000 a year,DDReg Pharma Pvt. Ltd.,nan,"Mumbai, Maharashtra",Perform science review of aggregate reports produced by PV Associates.,18 days ago
Data Science-Architect,nan,Wipro LTD,3.8,"Hyderabad, Telangana","Key skills required for the job are: n CDP AI/ML-L3,Data Science-L3, (Mandatory) and IBM Watson-L3, (Optional).",8 days ago
Data Scientist,nan,Netomi,nan,"Gurgaon, Haryana","Computer programming (programming languages, computer science, scientific computing).",30+ days ago
Sales Development Data Scientist,nan,freshworks,4.4,"Bengaluru, Karnataka","Ability to use and learn a wide variety of tools Like Gong , Outreach etc to mine the relevant data and build data models that will provide visibility on SDR…",10 days ago
Data Scientist - Predictive Analytics,nan,Yash Technologies,3.9,"Hyderabad, Telangana",Min 3+ years of relevant experience in data analytics.,10 days ago
Data Engineer,nan,Volvo Group,4.1,"Bengaluru, Karnataka","Proven skills in handling large set of data, data mining, data preparation, etc.",7 days ago
"Officer, IDTS",nan,Room to Read,4.3,"New Delhi, Delhi",Graduate Degree in education / social sciences or equivalent.,4 days ago
Data Scientist,nan,Ericsson,4.1,"Gurgaon, Haryana",Develop custom data models and algorithms to apply to data sets.,15 days ago
Data Analyst,nan,Encora,nan,"Bengaluru, Karnataka","Be responsible for data accuracy and integrity, implement data quality processes, create data dictionaries and data governance policies.",14 days ago
Decision Science Analyst,nan,Jumbotail Technologies,3.7,India,"Experience with working with large data sets, thorough knowledge of SQL, and top data mining softwares + data viz tools like Tableau software.",30+ days ago
Programmer Analyst,nan,Cognizant,3.9,"Mysore, Karnataka",Collate data and provide inputs for reporting requirements.,1 day ago
ML Engineer/ Data Scientist,nan,Spotflock,nan,"Hyderabad, Telangana",Supervising the data acquisition process if more data is needed.,22 days ago
Data Scientist,nan,Lumiq,nan,India,You are able to scope and define data sets needed for specific use cases and identifying data gaps.,30+ days ago
Sr. Data Analyst,15000 - 20000 a month,Digiowner,nan,"Indore, Madhya Pradesh","✔️ Experience in data science toolkits such as R,python , statistics.",6 days ago
Data Science Engineer,nan,Mystro,nan,"Mumbai, Maharashtra",Building advanced ML models for statement processing and transaction data processing on top of existing technology stack for understanding Customers better and…,30+ days ago
Machine Learning Internship,4000 a month,KUKbit Software Lab,nan,"Pune, Maharashtra",Performing explanatory data analysis 4.,1 day ago
Data Scientist- Computer Vision Scientist,nan,[24]7.ai,3.6,"Bengaluru, Karnataka",The Computer Vision and Image Processing (CVIP) team of Data Science Group (DSG) develops scalable solutions involving images and videos in conversational space…,6 days ago
DATA SCIENCE EXPERT,nan,Tech Pathway,nan,"Jaipur, Rajasthan","Experience with common data science toolkits, such as R, Weka, NumPy, MatLab, etc.(depending.",30+ days ago
Data Engineer - ETL Developer,nan,WNS India,3.7,Andhra Pradesh,"Work with the Application Development team to implement data strategies, build data flows and develop conceptual data models.",29 days ago
Data Visualization Developer,1500000 - 1800000 a year,Xpheno,nan,"Bengaluru, Karnataka",Experience with data model optimization and strong understanding of different data modeling techniques.,30+ days ago
Data Analyst,nan,Lenskart,3.8,"Faridabad, Haryana","Manipulate, cleanse and interpret data from multiple data sources, required.",30+ days ago
Research Analyst / Data Analyst,nan,Ifim Business School,4.0,"Bengaluru, Karnataka","Collate, clean the data, Transform the data to a format for further analysis.",30+ days ago
Development Scientist (Assay Development - Flow Cytometry),nan,Beckman Coulter Life Sciences,3.7,"Bengaluru, Karnataka",Follows standard practices and procedures in analyzing situations or data from which answers can be readily obtained.,Today
Sr. Executive -Stores(Warehouse R&D),nan,Jubilant Generics Limited,3.6,India,Jubilant Pharma Limited is a global integrated pharmaceutical company offering a wide range of products and services to its customers across geographies.,7 days ago
Senior Drug Regulatory Affairs Officer,15000 - 40000 a month,Pharma Impex Laboratories Pvt. Ltd.,nan,"Park Street H O, West Bengal","Collect, collate and evaluate scientific data from a range of sources.",8 days ago
MSSQL Data Science & R Analytics Programmer,nan,Optidesk Solutions,nan,"Bengaluru, Karnataka",The role is targeted at candidates with 2 to 6years of experience in Database Programming / Data Science role with hands-on experience in MS SQL Server.,30+ days ago
Data Science Engineer-Analytics,nan,Inspirisys Solutions,3.3,"Chennai, Tamil Nadu","Apply design and data analysis techniques to organize the presentation of data in visually innovative ways in order to make it easier to understand, insightful,…",17 days ago
Data Engineer,nan,Contentstack,nan,"Mumbai, Maharashtra",Industrialise the data science models and embed intelligence in product & business applications.,17 days ago
Data Science Analyst,nan,Microsoft,4.2,"Hyderabad, Telangana",Investigate and respond with relevant data.,30+ days ago
Research Associate,20000 - 30000 a month,Mayakantho,nan,"Hugli, West Bengal",Helping the department to publish the book based on research work & preserving data for future reference .,30+ days ago
Process Specialist - Data,nan,Cognizant,3.9,"Kolkata, West Bengal",Individuals in this role perform data entry of data received from Source documents into the respective Clinical/Safety database While peroforming this activity…,24 days ago
Data Scientist,nan,Dun & Bradstreet,3.7,"Mumbai, Maharashtra",Develop custom data models and algorithms to apply to data sets.,30+ days ago
Data Analyst,17000 - 25000 a month,AI Engineer,nan,"Coimbatore, Tamil Nadu",Extract usable information from unstructured data using data mining techniques.,4 days ago
Data Scientist – Module Lead,nan,WinWire,nan,"Bengaluru, Karnataka","Working with engineering teams to incorporate analyses and solutions, including working with data engineers on data quality assessment, data cleansing and data…",Just posted
Data And Analytics_Advanced Analytics_ Staff,nan,EY,4.0,"Bengaluru, Karnataka",3 - 6 years of experience.,14 days ago
Head of Data Science,nan,Scienaptic Systems,4.5,"Bengaluru, Karnataka","Designed by seasoned Chief Risk Officers, the Scienaptic platform enables sharper decisioning through AI/ML models powered by custom attributes from…",30+ days ago
Data Scientist DA4AD,nan,Mercedes-Benz Research and Development India Priva...,4.0,"Bengaluru, Karnataka","Very good experience with common data science toolkits of Python like numpy, pandas, pyTorch.",30+ days ago
Sr Engineer - Big Data Engineer,nan,seagatetec,nan,"Pune, Maharashtra",Solid technical skills with a proven and successful history working with data at scale and empowering organizations through data.,Today
Data Science - AI Internship,5000 a month,Social Prachar,4.2,"Hyderabad, Telangana",Tech/MCA/MSc 2018-2020 passed-out Strong programming skills Knowledge of python is desirable Good knowledge of IBM Watson tools or Google Dialogflow is a plus…,9 days ago
Quantitative Researcher,nan,ARP Investments,nan,"Mumbai, Maharashtra",This role is ideal for candidates who have a strong research background in experimental sciences and are interested in quantitative investment research.,14 days ago
Research Assistant / Field investigator,31000 a month,TISS,4.5,"Mumbai, Maharashtra","To organize, conduct and supervise data collection from health systems (municipal corporation) and its health facilities primary (Ambulance services), secondary…",2 days ago
"Associate , Data Engineering",nan,BlackRock,3.8,"Gurgaon, Haryana","The data platform is compelling analytics offering, supported by high quality historical data.",1 day ago
Data Analytics and Strategy Manager,nan,Salesforce,4.3,"Hyderabad, Telangana",4+ years experience in the data warehouse space.,30+ days ago
Data Analyst,5000 - 8000 a month,MSIT,nan,"Tirunelveli, Tamil Nadu",1+ years experience mining data as a data analyst.,30+ days ago
Data Lead AWS,50000 - 80000 a month,India Info Solutions,nan,"Bengaluru, Karnataka",Integrate data from multiple sources to produce requested or required data elements.,30+ days ago
Data Engineer,nan,Zoom,nan,"Bengaluru, Karnataka",Build data expertise and own data quality for the pipelines you create.,21 days ago
Data Scientist,nan,Inference Labs,nan,"Bengaluru, Karnataka",Understand and provide data science domain expertise for the new solutions & offerings.,24 days ago
Sr NLP & Text Mining Data Scientist,nan,Evolent Health,3.1,"Pune, Maharashtra",Gather external data sets; build synthetic data and label data sets as per the needs for NLP/NLR/NLU.,30+ days ago
Knowledge Analyst - Growth & Innovation Analytics,nan,The Boston Consulting Group,4.2,"New Delhi, Delhi","1-3 years’ of work experience with IP knowledge/ research, IP analytics, data science or consulting experience.",Just posted
Data Analytics team lead,nan,Larsen & Toubro Infotech Limited,3.7,India,Experience – 5-7 years working in business analytics and data science.,30+ days ago
Research Associate,300000 - 600000 a year,Parantapa Sciences,nan,"Mumbai, Maharashtra",Compile and analyze data points.,7 days ago
Data Analyst,nan,Oracle,3.8,"Bengaluru, Karnataka","The Data Analyst will work alongside product management, product development, data engineers, and data scientists.",30+ days ago
Analyst,nan,IQVIA,3.8,"Bengaluru, Karnataka","At IQVIA, we believe in pushing the boundaries of human science and data science to make the biggest impact possible – to help our customers create a healthier…",1 day ago
Big Data Engineers and Leads with GCP Experience,nan,GSPANN Technologie,nan,"Gurgaon, Haryana","Good communication skills in written and verbal form - Experience testing, automating, and instrumenting your code - A degree in computer science or equivalent…",30+ days ago
Associate,nan,Cognizant,3.9,"Kolkata, West Bengal","Bachelors in science , engineering or equivalent.",24 days ago
Big Data part time job/internship at Delhi,6000 a month,Rit Learning Fields Private Limited,nan,"Delhi, Delhi",Working on user interaction and data mining.,Today
Data Science Manager-R&D,nan,Flytxt Mobile Solutions,4.3,"Thiruvananthapuram, Kerala",The candidate is expected to be strong in fundamentals of computer science as well as in analyzing and designing AI/Machine learning algorithms.,30+ days ago
Data science trainer,nan,SocialPrachar.com,4.3,"Bengaluru, Karnataka",Social Prachar Bangalore branch is looking for a Data Science Trainer.,8 days ago
Data Analyst,nan,Netradyne,nan,"Bengaluru, Karnataka",Good understanding of data bases and SQL.,30+ days ago
Data Scientist,nan,DXFactor Solutions Pvt Ltd,nan,"Ahmedabad, Gujarat",A group of technology companies/entities spread across:,30+ days ago
Quality Assurance Engineer,350000 - 500000 a year,Nature Technologies,nan,"Kolkata, West Bengal","Test the system capabilities to ensure functionality, interoperability, and data validation across distributed components of the system.",11 days ago
Quality Engineer Data,nan,Barclays,3.9,"Pune, Maharashtra",BTech in computer science or relevant work experience.,1 day ago
Data Engineer,1200000 a year,GIUSTINO SOLUTIONS PVT LTD,nan,"Hyderabad, Telangana","Experience building and optimizing ‘big data’ data pipelines, architectures and data sets.",14 days ago
Analyst – Data and Analytics,nan,Marsh and McLennan,3.7,"Mumbai, Maharashtra","An energetic and entrepreneurial team with a breadth of experience in areas such as data science, visualization and descriptive analytics.",30+ days ago
Machine Learning Engineer (Data Science Engineer),nan,Pype,nan,"Bengaluru, Karnataka",Identify/adopt feedback loops to maintain high fidelity data governance across the product portfolios.,30+ days ago
Atmospheric Science Specialist,nan,Genesis Ray Energy,nan,"Gurgaon, Haryana",Experience with machine-learning methods and data science techniques applied to weather-based problems.,30+ days ago
Manager - Analytics,nan,Cognizant,3.9,"Pune, Maharashtra",Coordinates in communicating the data needs with both technology and business teams to ensure that right data is captured for analysis and modeling.,Today
"ESG Data Strategy, Data Scientist – Alternative Data",nan,Institutional Shareholder Services,3.3,"Mumbai, Maharashtra",Master’s degree or proven equivalent experience in the fields of data science and linguistics/NLP.,21 days ago
Data Science - Lead,nan,Yash Technologies,3.9,"Pune, Maharashtra",Support in architecting data warehouse and data-lake.,30+ days ago
Meteorological Data Engineer,nan,ClimaCell,nan,"Pune, Maharashtra",Familiarity with building data processing pipelines and databases to support big data statistical analysis applications.,30+ days ago
Lead Data Scientist,nan,Unilever,4.2,"Bengaluru, Karnataka",Defining Unilever's best practice on major data science topics.,30+ days ago
Data Science & Analytic,nan,CODEC Networks,3.6,"Delhi, Delhi",1 to 2 years developing and implementing data analytics methodologies with good interpersonal with excellent communication skills.,30+ days ago
Data Engineer,nan,Cervello Inc,nan,"Bengaluru, Karnataka","Play a key role on projects from a data engineering perspective, working with our Architects and clients to model the data landscape, obtain data extracts and…",30+ days ago
"Application Engineer – MBSE, PLM, CAD, Simulations, Data",500000 - 1500000 a year,Intercax Technologies Pvt. Ltd.,nan,Remote,"Data science and analytics tools, e.g. Jupyter Notebook.",30+ days ago
"Director, Data Science, Secondary Research Service",nan,Gartner,3.7,"Gurgaon, Haryana",3+ years of experience in managing teams working on analytics / data science projects.,8 days ago
Data Science Manager,nan,Honeywell,3.7,"Bengaluru, Karnataka","Collaborating and influencing team resourcing including engineering, data engineering, customer engagement, and product managers to ensure successful execution.",23 days ago
Full Stack Developer (Big Data & Healthcare Background),50000 - 90000 a month,Intelliworx Consulting,nan,"Delhi, Delhi",5 years of experience in designing and delivering scalable full-stack web solutions.,1 day ago
Data Visualization Analyst,nan,Meredith Corporation,3.6,"Bengaluru, Karnataka",Perform data extraction and data manipulation on large datasets to achieve superior and fast visualization on Sisense.,11 days ago
DATA SCIENTIST,nan,Maxbyte Technologies Private Limited,nan,"Coimbatore, Tamil Nadu","These applications include but are not limited to contextual data mining, understanding the contents of the enterprise data using natural language processing,…",30+ days ago
Data Curator,nan,CCS Computers,nan,"New Delhi, Delhi",Curation and mining of different types of biological data under supervision of domain experts.,2 days ago
Architect I - Data Science,nan,Philips,4.0,"Bengaluru, Karnataka","Excellent knowledge of various data science, AI algorithms.",30+ days ago
Data Scientist DA4AD,nan,Daimler,4.1,"Bengaluru, Karnataka","Very good experience with common data science toolkits of Python like numpy, pandas, pyTorch.",30+ days ago
Senior Associate/Consultant - Geospatial Lab (Geoinformatics and Computer Science),nan,Indian Institute for Human Settlements,4.3,"Bengaluru, Karnataka",Experience in handling and analysis of large scale Optical and Radar satellite data;,1 day ago
Medical Writer - Trainee,240000 - 350000 a year,DDReg Pharma Pvt. Ltd.,nan,"Mumbai, Maharashtra",Perform science review of aggregate reports produced by PV Associates.,18 days ago
Data Science-Architect,nan,Wipro LTD,3.8,"Hyderabad, Telangana","Key skills required for the job are: n CDP AI/ML-L3,Data Science-L3, (Mandatory) and IBM Watson-L3, (Optional).",8 days ago
Data Scientist,nan,Netomi,nan,"Gurgaon, Haryana","Computer programming (programming languages, computer science, scientific computing).",30+ days ago
Sales Development Data Scientist,nan,freshworks,4.4,"Bengaluru, Karnataka","Ability to use and learn a wide variety of tools Like Gong , Outreach etc to mine the relevant data and build data models that will provide visibility on SDR…",10 days ago
Data Scientist - Predictive Analytics,nan,Yash Technologies,3.9,"Hyderabad, Telangana",Min 3+ years of relevant experience in data analytics.,10 days ago
Data Engineer,nan,Volvo Group,4.1,"Bengaluru, Karnataka","Proven skills in handling large set of data, data mining, data preparation, etc.",7 days ago
"Officer, IDTS",nan,Room to Read,4.3,"New Delhi, Delhi",Graduate Degree in education / social sciences or equivalent.,4 days ago
Data Scientist,nan,Ericsson,4.1,"Gurgaon, Haryana",Develop custom data models and algorithms to apply to data sets.,15 days ago
Data Analyst,nan,Encora,nan,"Bengaluru, Karnataka","Be responsible for data accuracy and integrity, implement data quality processes, create data dictionaries and data governance policies.",14 days ago
Decision Science Analyst,nan,Jumbotail Technologies,3.7,India,"Experience with working with large data sets, thorough knowledge of SQL, and top data mining softwares + data viz tools like Tableau software.",30+ days ago
Programmer Analyst,nan,Cognizant,3.9,"Mysore, Karnataka",Collate data and provide inputs for reporting requirements.,1 day ago
ML Engineer/ Data Scientist,nan,Spotflock,nan,"Hyderabad, Telangana",Supervising the data acquisition process if more data is needed.,22 days ago
Data Scientist,nan,Lumiq,nan,India,You are able to scope and define data sets needed for specific use cases and identifying data gaps.,30+ days ago
Sr. Data Analyst,15000 - 20000 a month,Digiowner,nan,"Indore, Madhya Pradesh","✔️ Experience in data science toolkits such as R,python , statistics.",6 days ago
Data Science Engineer,nan,Mystro,nan,"Mumbai, Maharashtra",Building advanced ML models for statement processing and transaction data processing on top of existing technology stack for understanding Customers better and…,30+ days ago
Machine Learning Internship,4000 a month,KUKbit Software Lab,nan,"Pune, Maharashtra",Performing explanatory data analysis 4.,1 day ago
Data Scientist- Computer Vision Scientist,nan,[24]7.ai,3.6,"Bengaluru, Karnataka",The Computer Vision and Image Processing (CVIP) team of Data Science Group (DSG) develops scalable solutions involving images and videos in conversational space…,6 days ago
DATA SCIENCE EXPERT,nan,Tech Pathway,nan,"Jaipur, Rajasthan","Experience with common data science toolkits, such as R, Weka, NumPy, MatLab, etc.(depending.",30+ days ago
Data Engineer - ETL Developer,nan,WNS India,3.7,Andhra Pradesh,"Work with the Application Development team to implement data strategies, build data flows and develop conceptual data models.",29 days ago
Data Visualization Developer,1500000 - 1800000 a year,Xpheno,nan,"Bengaluru, Karnataka",Experience with data model optimization and strong understanding of different data modeling techniques.,30+ days ago
Data Analyst,nan,Lenskart,3.8,"Faridabad, Haryana","Manipulate, cleanse and interpret data from multiple data sources, required.",30+ days ago
Data Quality Check And Pipeline Operations Internship,10000 - 15000 a month,PV Diagnostics,nan,"Indore, Madhya Pradesh",Filtering and cleansing unstructured (or ambiguous) data into usable data sets that can be analyzed to improve business processes 3.,8 days ago
Data Analyst,700000 a year,OJ Commerce,nan,"Chennai, Tamil Nadu",Must be highly analytical & detail oriented with expertise in handling complex business data.,9 days ago
Trainee -Data Scientist,nan,People Interactive Pvt Ltd.,4.1,"Mumbai, Maharashtra","We deal with all kinds of structured/unstructured (image, text, etc) data and build data-driven solutions to solve customer problems.",30+ days ago
Opening of Lims Testing and documentation for Baroda,500000 - 1000000 a year,INK IT SOLUTIONS AND CONSULTING PVT LTD,nan,"Vadodara, Gujarat",Experience in Healthcare and Life science / Pharmaceutical domain.,Today
Assistant Manager,nan,Deloitte,4.0,"Bengaluru, Karnataka","And the related master data, underlying tables etc.",3 days ago
Research Intern,nan,EPIC-INDIA,nan,"Delhi, Delhi","Strong written and verbal communication skills, with the ability to present data in a simple and straightforward way for non-technical audiences required.",16 days ago
Business Analysis/Data Science,nan,Nathan Research,nan,"Chennai, Tamil Nadu",Ensuring transaction data needs and solutions.,30+ days ago
Manager - Data Science,nan,Innominds Software,3.9,"Hyderabad, Telangana",Lead customer engagement in data analytics to take customer's business problem and convert it into a data science problem through.,24 days ago
Trainee - freshers - Internship - python-python Developer - online - 7302816244,360000 - 590000 a year,Shri TirupatiI Balaji Education Foundation,nan,"Bengaluru, Karnataka","Call/whatsapp Ankita - 7302816244 , Mansi- 8755019090.",9 days ago
Sustainability Consultant (Environmental Scientist ),10000 - 15000 a month,Interview Cracker,nan,"Bengaluru, Karnataka","We are looking for an environmental science graduate with an ability to analyze environmental science data, possessing critical thinking along with a problem…",Today
Data Scientist,nan,MakeMyTrip,4.0,"Bengaluru, Karnataka",Computer science background (at the level of data structures & algorithms) is desirable.,30+ days ago
Data Scientist,25 an hour,Careers at Tide,nan,"Hyderabad, Telangana",Testing and checking the complex data models built by the awesome data team.,12 days ago
"Specialist, Quantitative Data and Analytics",nan,Gartner,3.7,"Bengaluru, Karnataka","Develop and document data quality solutions and index maintenance processes including rebalancing, data publishing and calculation of indexes across different…",21 days ago
Data Analyst,nan,Liventus,nan,"Bengaluru, Karnataka","Coordinate development of test data, system testing, and documentation for all phases of our data migration processes (ETL).",30+ days ago
Data Analyst,nan,Tekion,nan,"Bengaluru, Karnataka",Develop custom data models and algorithms to apply to data sets.,30+ days ago
Delivery Data Scientist,nan,Microsoft,4.2,"Hyderabad, Telangana",You love to work within an international team on the most challenging data science problems.,21 days ago
Data Engineer III,nan,Rackspace,3.8,Remote,Knowledge or hands-on experience with data visualization and/or data sciences..,30+ days ago
Data Engineer: Business Intelligence,nan,IBM,3.9,"Pune, Maharashtra","IBMers believe that the application of intelligence, reason and science can improve business, society and the human condition.",8 days ago
Data Analyst,nan,Scripbox Advisors,nan,"Bengaluru, Karnataka",Understanding of data warehousing and data modelling.,30+ days ago
Data Science Engineer,nan,IntelliPredikt Technologies,nan,"Bengaluru, Karnataka","Job Description: Data scientist is responsible for data exploration, machine learning, IP generation, anomaly detection/ prediction and data visualization of…",30+ days ago
Data Scientist,nan,Emerging India Group,nan,India,"Experience with common data science toolkits, such as R, Python etc.",30+ days ago
Junior Data Analyst,nan,GroundTruth,nan,"Gurgaon, Haryana",Develop re-usable tools and templates to quickly create data driven narratives.,30+ days ago
Analyst—Insight—Deloitte Support Services India Private Limited,nan,Deloitte,4.0,"Hyderabad, Telangana","Ensure data confidentiality, integrity and protection of company's intellectual property.",3 days ago
Data Engineer - L2,nan,Twilio,nan,"Bengaluru, Karnataka","Develop set processes for data mining, data modelling, and data production.",7 days ago
Research Analyst Intern,nan,Terra Economics & Analytics Lab (TEAL),nan,"New Delhi, Delhi","It was exciting and challenging to work on mining huge volumes of property records; extracting patterns from the data, building data pipelines and brainstorming…",7 days ago
Sr. Data Scientist / Machine learning Expert,nan,Bidgely,nan,"Bengaluru, Karnataka",Strong intuition for data and Keen aptitude on large scale data analysis.,30+ days ago
Internship - Family Health Team,nan,PATH,3.9,"New Delhi, Delhi",Perform data analysis for informing program strategy.,Today
Primary Science Content Developer (IN),400 a day,Nagwa,nan,"Bengaluru, Karnataka",Ask Nagwa to stop processing data for a period if data is inaccurate or there is a dispute about whether or not your interests override Nagwa's legitimate…,24 days ago
Analyst - Data Science,nan,Nuware Systems,nan,"Bengaluru, Karnataka","Data Scientist with Machine Learning, Python & R Programming Experience.",30+ days ago
SR DATA Scientist,nan,Larsen & Toubro Infotech Limited,3.7,India,"Python • Machine Learning and Deep Learning • Natural Language Processing • TensorFlow, PyTorch Develops and reviews complex data analytics models, algorithms,…",30+ days ago
Document Writer,nan,Appnomic Systems Pvt. Ltd,4.3,"Bengaluru, Karnataka","Research, write, edit and proofread complex technical data for Appnomic System products.",Today
Java Big Data Developer 1-3 years,1500000 a year,GIUSTINO SOLUTIONS PVT LTD,nan,"Madhapur, Hyderabad, Telangana","Prior experience in big data tools - Hadoop, Hive, HBase, MongoDB, etc.",7 days ago
"Analyst, Analytics & Benchmarking",nan,GSK,4.2,"Bengaluru, Karnataka","Strong analytical skills with ability to synthesize data (source, consolidate and mine data) and create robust visualizes of data to convey messages.",2 days ago
"Data Management Specialist, Customer Engineering, Google Cloud",nan,Google,4.3,"Mumbai, Maharashtra",Experience with data migration strategies and moving production systems.,30+ days ago
Jr. Data scientist,nan,Blackstraw,4.0,"Chennai, Tamil Nadu","Define and develop, maintain and evolve data models, tools and capabilities.",30+ days ago
Investigator Payment Specialist,nan,Parexel,3.7,"Hyderabad, Telangana",Analysis and presentation of data in a required fashion to various stakeholders.,1 day ago
Calderys - Data Analyst,nan,Imerys,3.7,"Nagpur, Maharashtra",Ability to interpret basic financial data.,6 days ago
"Manager, Data Science",nan,Aera Technology,nan,"Pune, Maharashtra",This role is an ideal opportunity for someone who enjoys working on new and challenging data science problems as well as managing a team of high performing data…,30+ days ago
Data Science | 6 to 9 years | Bengaluru & Hyderabad,nan,Capgemini,3.8,"Bengaluru, Karnataka","Hands on experience in Python, PySpark, MLib, Spark/Mesos.",10 days ago
Data Engineer - QuantumBlack,nan,McKinsey & Company,4.3,"Gurgaon, Haryana","Work with our clients to model their data landscape, obtain data extracts and define secure data exchange approaches.",18 days ago
"Data Scientist (Forecasting, SAS)",nan,Mondelēz International,4.0,India,Should be able to articulate data science outcome into business understandable language.,10 days ago
VP (Learning & Design),nan,WhiteHat Jr,nan,"Mumbai, Maharashtra","Work with data analysts/scientists to develop analytical models to correlate learning outcomes data with key drivers of learning outcomes like engagement,…",13 days ago
"Manager, Business Intelligence & Data Science",nan,iSOCRATES,nan,"Mysore, Karnataka",Lead identification of appropriate data science models and evaluate their fitment for the available data.,30+ days ago
Data Scientist,nan,SearchUrCollege,nan,"Noida, Uttar Pradesh",Travel and engage clients directly to translate their business needs into implementable science.,30+ days ago
Data Analyst,nan,Oracle,3.8,"Bengaluru, Karnataka","The Data Analyst will work alongside product management, product development, data engineers, and data scientists.",30+ days ago
Analyst,nan,IQVIA,3.8,"Bengaluru, Karnataka","At IQVIA, we believe in pushing the boundaries of human science and data science to make the biggest impact possible – to help our customers create a healthier…",1 day ago
Big Data Engineers and Leads with GCP Experience,nan,GSPANN Technologie,nan,"Gurgaon, Haryana","Good communication skills in written and verbal form - Experience testing, automating, and instrumenting your code - A degree in computer science or equivalent…",30+ days ago
Associate,nan,Cognizant,3.9,"Kolkata, West Bengal","Bachelors in science , engineering or equivalent.",24 days ago
Big Data part time job/internship at Delhi,6000 a month,Rit Learning Fields Private Limited,nan,"Delhi, Delhi",Working on user interaction and data mining.,Today
